Date,EnergyConsumption
01/01/2016, 2.540 
02/01/2016, 2.732 
03/01/2016, 2.712 
04/01/2016, 3.007 
05/01/2016, 2.967 
06/01/2016, 3.005 
07/01/2016, 3.086 
08/01/2016, 3.074 
09/01/2016, 2.975 
10/01/2016, 2.825 
11/01/2016, 3.012 
12/01/2016, 3.029 
13/01/2016, 3.076 
14/01/2016, 3.086 
15/01/2016, 3.087 
16/01/2016, 3.012 
17/01/2016, 2.843 
18/01/2016, 3.054 
19/01/2016, 3.060 
20/01/2016, 3.017 
21/01/2016, 2.976 
22/01/2016, 2.994 
23/01/2016, 2.881 
24/01/2016, 2.702 
25/01/2016, 2.947 
26/01/2016, 3.017 
27/01/2016, 2.994 
28/01/2016, 3.015 
29/01/2016, 3.073 
30/01/2016, 2.983 
31/01/2016, 2.776 
01/02/2016, 2.998 
02/02/2016, 2.999 
03/02/2016, 2.962 
04/02/2016, 2.995 
05/02/2016, 2.959 
06/02/2016, 2.860 
07/02/2016, 2.676 
08/02/2016, 2.604 
09/02/2016, 2.892 
10/02/2016, 2.948 
11/02/2016, 2.913 
12/02/2016, 2.885 
13/02/2016, 2.838 
14/02/2016, 2.718 
15/02/2016, 2.979 
16/02/2016, 2.995 
17/02/2016, 2.975 
18/02/2016, 2.997 
19/02/2016, 3.019 
20/02/2016, 2.961 
21/02/2016, 2.740 
22/02/2016, 2.951 
23/02/2016, 3.029 
24/02/2016, 2.994 
25/02/2016, 2.975 
26/02/2016, 2.960 
27/02/2016, 2.867 
28/02/2016, 2.678 
29/02/2016, 2.900 
01/03/2016, 2.878 
02/03/2016, 2.978 
03/03/2016, 2.999 
04/03/2016, 2.965 
05/03/2016, 2.872 
06/03/2016, 2.699 
07/03/2016, 2.980 
08/03/2016, 3.043 
09/03/2016, 2.810 
10/03/2016, 3.054 
11/03/2016, 3.062 
12/03/2016, 2.958 
13/03/2016, 2.804 
14/03/2016, 3.082 
15/03/2016, 3.126 
16/03/2016, 3.122 
17/03/2016, 3.155 
18/03/2016, 3.102 
19/03/2016, 2.990 
20/03/2016, 2.835 
21/03/2016, 3.082 
22/03/2016, 3.107 
23/03/2016, 3.094 
24/03/2016, 3.051 
25/03/2016, 2.783 
26/03/2016, 2.829 
27/03/2016, 2.755 
28/03/2016, 3.051 
29/03/2016, 3.083 
30/03/2016, 3.038 
31/03/2016, 3.040 
01/04/2016, 2.990 
02/04/2016, 2.931 
03/04/2016, 2.758 
04/04/2016, 3.054 
05/04/2016, 3.118 
06/04/2016, 3.127 
07/04/2016, 3.117 
08/04/2016, 3.092 
09/04/2016, 2.982 
10/04/2016, 2.800 
11/04/2016, 3.106 
12/04/2016, 3.128 
13/04/2016, 3.074 
14/04/2016, 3.065 
15/04/2016, 3.033 
16/04/2016, 2.941 
17/04/2016, 2.790 
18/04/2016, 3.070 
19/04/2016, 3.119 
20/04/2016, 3.122 
21/04/2016, 3.112 
22/04/2016, 3.034 
23/04/2016, 2.943 
24/04/2016, 2.812 
25/04/2016, 3.106 
26/04/2016, 3.107 
27/04/2016, 3.111 
28/04/2016, 3.101 
29/04/2016, 3.095 
30/04/2016, 2.996 
01/05/2016, 2.703 
02/05/2016, 3.034 
03/05/2016, 3.131 
04/05/2016, 3.146 
05/05/2016, 2.858 
06/05/2016, 2.736 
07/05/2016, 2.838 
08/05/2016, 2.753 
09/05/2016, 3.120 
10/05/2016, 3.156 
11/05/2016, 3.162 
12/05/2016, 3.149 
13/05/2016, 3.127 
14/05/2016, 3.029 
15/05/2016, 2.854 
16/05/2016, 3.126 
17/05/2016, 3.143 
18/05/2016, 3.176 
19/05/2016, 3.184 
20/05/2016, 3.171 
21/05/2016, 3.048 
22/05/2016, 2.774 
23/05/2016, 3.044 
24/05/2016, 3.122 
25/05/2016, 3.156 
26/05/2016, 3.160 
27/05/2016, 3.093 
28/05/2016, 2.989 
29/05/2016, 2.795 
30/05/2016, 3.042 
31/05/2016, 3.081 
01/06/2016, 3.110 
02/06/2016, 3.131 
03/06/2016, 3.118 
04/06/2016, 3.020 
05/06/2016, 2.849 
06/06/2016, 3.107 
07/06/2016, 3.213 
08/06/2016, 3.202 
09/06/2016, 3.166 
10/06/2016, 3.156 
11/06/2016, 3.082 
12/06/2016, 2.903 
13/06/2016, 3.199 
14/06/2016, 3.204 
15/06/2016, 3.137 
16/06/2016, 3.138 
17/06/2016, 3.170 
18/06/2016, 3.016 
19/06/2016, 2.754 
20/06/2016, 3.042 
21/06/2016, 3.137 
22/06/2016, 3.169 
23/06/2016, 3.126 
24/06/2016, 3.113 
25/06/2016, 3.028 
26/06/2016, 2.831 
27/06/2016, 3.070 
28/06/2016, 3.064 
29/06/2016, 3.072 
30/06/2016, 3.047 
01/07/2016, 3.025 
02/07/2016, 2.869 
03/07/2016, 2.675 
04/07/2016, 2.530 
05/07/2016, 2.326 
06/07/2016, 2.154 
07/07/2016, 2.149 
08/07/2016, 2.199 
09/07/2016, 2.264 
10/07/2016, 2.331 
11/07/2016, 2.736 
12/07/2016, 2.861 
13/07/2016, 2.882 
14/07/2016, 2.984 
15/07/2016, 3.009 
16/07/2016, 2.916 
17/07/2016, 2.756 
18/07/2016, 3.036 
19/07/2016, 3.068 
20/07/2016, 3.034 
21/07/2016, 3.022 
22/07/2016, 3.040 
23/07/2016, 2.934 
24/07/2016, 2.769 
25/07/2016, 3.028 
26/07/2016, 3.024 
27/07/2016, 3.037 
28/07/2016, 3.084 
29/07/2016, 3.088 
30/07/2016, 2.961 
31/07/2016, 2.771 
01/08/2016, 3.008 
02/08/2016, 3.033 
03/08/2016, 3.031 
04/08/2016, 3.051 
05/08/2016, 3.089 
06/08/2016, 2.995 
07/08/2016, 2.812 
08/08/2016, 3.108 
09/08/2016, 3.155 
10/08/2016, 3.153 
11/08/2016, 3.137 
12/08/2016, 3.143 
13/08/2016, 3.000 
14/08/2016, 2.765 
15/08/2016, 3.051 
16/08/2016, 3.085 
17/08/2016, 2.635 
18/08/2016, 3.027 
19/08/2016, 3.068 
20/08/2016, 2.950 
21/08/2016, 2.775 
22/08/2016, 3.027 
23/08/2016, 3.089 
24/08/2016, 3.077 
25/08/2016, 3.075 
26/08/2016, 3.098 
27/08/2016, 3.025 
28/08/2016, 2.847 
29/08/2016, 3.119 
30/08/2016, 3.196 
31/08/2016, 3.211 
01/09/2016, 3.196 
02/09/2016, 3.173 
03/09/2016, 3.033 
04/09/2016, 2.845 
05/09/2016, 3.107 
06/09/2016, 3.144 
07/09/2016, 3.190 
08/09/2016, 3.164 
09/09/2016, 3.128 
10/09/2016, 3.008 
11/09/2016, 2.771 
12/09/2016, 2.510 
13/09/2016, 3.033 
14/09/2016, 3.123 
15/09/2016, 3.154 
16/09/2016, 3.158 
17/09/2016, 3.020 
18/09/2016, 2.841 
19/09/2016, 3.124 
20/09/2016, 3.161 
21/09/2016, 3.154 
22/09/2016, 3.121 
23/09/2016, 3.094 
24/09/2016, 2.938 
25/09/2016, 2.790 
26/09/2016, 3.041 
27/09/2016, 3.088 
28/09/2016, 3.036 
29/09/2016, 3.070 
30/09/2016, 3.043 
01/10/2016, 2.929 
02/10/2016, 2.647 
03/10/2016, 3.006 
04/10/2016, 3.086 
05/10/2016, 3.117 
06/10/2016, 3.124 
07/10/2016, 3.113 
08/10/2016, 2.992 
09/10/2016, 2.717 
10/10/2016, 2.971 
11/10/2016, 3.071 
12/10/2016, 3.106 
13/10/2016, 3.122 
14/10/2016, 3.092 
15/10/2016, 3.008 
16/10/2016, 2.859 
17/10/2016, 3.176 
18/10/2016, 3.221 
19/10/2016, 3.264 
20/10/2016, 3.253 
21/10/2016, 3.158 
22/10/2016, 3.018 
23/10/2016, 2.792 
24/10/2016, 2.997 
25/10/2016, 3.079 
26/10/2016, 3.114 
27/10/2016, 3.113 
28/10/2016, 3.084 
29/10/2016, 2.992 
30/10/2016, 2.819 
31/10/2016, 3.104 
01/11/2016, 3.133 
02/11/2016, 3.122 
03/11/2016, 3.103 
04/11/2016, 3.121 
05/11/2016, 2.975 
06/11/2016, 2.824 
07/11/2016, 3.115 
08/11/2016, 3.164 
09/11/2016, 3.080 
10/11/2016, 3.032 
11/11/2016, 3.063 
12/11/2016, 2.987 
13/11/2016, 2.797 
14/11/2016, 3.047 
15/11/2016, 3.040 
16/11/2016, 3.053 
17/11/2016, 3.098 
18/11/2016, 3.092 
19/11/2016, 3.025 
20/11/2016, 2.869 
21/11/2016, 3.121 
22/11/2016, 3.129 
23/11/2016, 3.084 
24/11/2016, 3.111 
25/11/2016, 3.113 
26/11/2016, 2.970 
27/11/2016, 2.804 
28/11/2016, 3.075 
29/11/2016, 3.090 
30/11/2016, 3.049 
01/12/2016, 3.061 
02/12/2016, 3.027 
03/12/2016, 2.921 
04/12/2016, 2.733 
05/12/2016, 3.021 
06/12/2016, 3.090 
07/12/2016, 3.043 
08/12/2016, 3.049 
09/12/2016, 3.053 
10/12/2016, 2.956 
11/12/2016, 2.739 
12/12/2016, 2.652 
13/12/2016, 3.005 
14/12/2016, 3.079 
15/12/2016, 3.090 
16/12/2016, 3.077 
17/12/2016, 2.990 
18/12/2016, 2.784 
19/12/2016, 3.089 
20/12/2016, 3.150 
21/12/2016, 3.156 
22/12/2016, 3.171 
23/12/2016, 3.141 
24/12/2016, 3.027 
25/12/2016, 2.709 
26/12/2016, 2.946 
27/12/2016, 3.054 
28/12/2016, 3.106 
29/12/2016, 3.092 
30/12/2016, 2.971 
31/12/2016, 2.765 
01/01/2017, 2.463 
02/01/2017, 2.807 
03/01/2017, 3.079 
04/01/2017, 3.109 
05/01/2017, 3.121 
06/01/2017, 3.094 
07/01/2017, 3.006 
08/01/2017, 2.820 
09/01/2017, 3.090 
10/01/2017, 3.163 
11/01/2017, 3.173 
12/01/2017, 3.145 
13/01/2017, 3.094 
14/01/2017, 2.957 
15/01/2017, 2.711 
16/01/2017, 3.004 
17/01/2017, 3.046 
18/01/2017, 3.071 
19/01/2017, 3.105 
20/01/2017, 3.074 
21/01/2017, 2.974 
22/01/2017, 2.788 
23/01/2017, 3.028 
24/01/2017, 3.069 
25/01/2017, 3.050 
26/01/2017, 3.002 
27/01/2017, 3.031 
28/01/2017, 2.690 
29/01/2017, 2.641 
30/01/2017, 2.978 
31/01/2017, 3.052 
01/02/2017, 3.042 
02/02/2017, 2.991 
03/02/2017, 2.977 
04/02/2017, 2.879 
05/02/2017, 2.767 
06/02/2017, 3.092 
07/02/2017, 3.075 
08/02/2017, 3.060 
09/02/2017, 3.062 
10/02/2017, 3.020 
11/02/2017, 2.910 
12/02/2017, 2.731 
13/02/2017, 2.977 
14/02/2017, 3.032 
15/02/2017, 2.746 
16/02/2017, 2.968 
17/02/2017, 3.042 
18/02/2017, 2.973 
19/02/2017, 2.806 
20/02/2017, 3.101 
21/02/2017, 3.110 
22/02/2017, 3.105 
23/02/2017, 3.124 
24/02/2017, 3.139 
25/02/2017, 2.979 
26/02/2017, 2.774 
27/02/2017, 3.077 
28/02/2017, 3.122 
01/03/2017, 3.090 
02/03/2017, 3.092 
03/03/2017, 3.080 
04/03/2017, 2.984 
05/03/2017, 2.779 
06/03/2017, 3.054 
07/03/2017, 3.060 
08/03/2017, 3.105 
09/03/2017, 3.140 
10/03/2017, 3.116 
11/03/2017, 3.012 
12/03/2017, 2.815 
13/03/2017, 3.097 
14/03/2017, 3.107 
15/03/2017, 3.126 
16/03/2017, 3.142 
17/03/2017, 3.164 
18/03/2017, 3.025 
19/03/2017, 2.816 
20/03/2017, 3.109 
21/03/2017, 3.148 
22/03/2017, 3.152 
23/03/2017, 3.185 
24/03/2017, 3.182 
25/03/2017, 3.076 
26/03/2017, 2.806 
27/03/2017, 3.018 
28/03/2017, 2.879 
29/03/2017, 3.177 
30/03/2017, 3.234 
31/03/2017, 3.196 
01/04/2017, 3.042 
02/04/2017, 2.844 
